,0,1,class
CC1=C(I)C(C)=[N+]2C1=C(c1ccc(Br)cc1)c1c(C)c(I)c(C)n1[B-]2(F)F,-10.223016,-8.724714,9
COC(=O)c1ccc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(C)c(I)c(C)c32)cc1,-9.448114,-8.792431,9
CC1=C(I)C(C)=[N+]2C1=C(c1cccs1)c1c(C)c(I)c(C)n1[B-]2(F)F,-10.698885,-8.1336355,9
CC1=C(I)C(C)=[N+]2C1=C(c1ccc(Br)s1)c1c(C)c(I)c(C)n1[B-]2(F)F,-10.33973,-8.033987,9
COC(=O)c1ccc(C2=C3C(Br)=c4sc(-c5ccc(Br)s5)cc4=[N+]3[B-](F)(F)n3c2cc2sc(-c4ccc(Br)s4)cc23)cc1,-8.153241,-8.479159,9
CCN(CC)c1ccc2nc3c4ccccc4c(=NCCCC(=O)NC4C(=O)N5C(C(=O)O)=C(CSc6ccc(NC(=O)CCCN(C)c7ccc(C=Cc8ccc9nc%10ccc(N(CC)CC)cc%10[n+](-c%10ccccc%10)c9c8)cc7)cc6)CSC45)cc-3sc2c1,5.218535,-13.963566,8
CC[NH+]=c1cc2sc3cc(N(CC)CC)ccc3nc-2c2ccccc12,6.2511954,-12.022625,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH+]CCCO)cc-3sc2c1,5.5083046,-12.287135,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH+]CCCCC(=O)O)cc-3sc2c1,5.305448,-12.671433,4
O=C(CN1C(=O)CSC1=S)Oc1ccc(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccccc4)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)cc1,-1.8646373,2.571637,8
O=C(CN1C(=O)CSC1=S)Oc1ccc(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccccc4)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)cc1,-1.863398,2.5701747,8
O=C(CN1C(=O)CSC1=S)Oc1ccc(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccccc4)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)cc1,-1.8639438,2.570794,8
O=C(O)CN1C(=O)C(=Cc2ccc(COc3ccc(-c4c5nc(c(-c6ccccc6)c6ccc([nH]6)c(-c6ccccc6)c6nc(c(-c7ccccc7)c7ccc4[nH]7)C=C6)C=C5)cc3)cc2)SC1=S,-2.4810083,4.435438,8
